Timestamp,Year,Gender,Age,Nationality,Current Country of Residence,Current State of Residence,Current City of Residence,Highest Level of Education,Name of Highest Degree Obtained,Name of School or University,Is your Education Background related to your current job?,Did you go through a bootcamp to learn technical skills?,"Professional Certification (Eg. CCNA, CEH, GCP Cloud Associate)",Name of Bootcamp Course,Name of Professional Certification(s),Job Title,What is your currency code?,What is your current monthly base salary?,What is your current bonus compensation per year?,What is your current equity (stock) compensation per year?,How many days of annual leave are you entitled to?,Company Benefits,What technologies do you use for work on a regular basis?,Company Location,Company Industry,What is the size of your company?,What is the size of your tech team?,What's the name of your company? [Optional],Satisfaction Level of Current Job,Years of Experience,Number of past employments/jobs (excluding the current one),What was your starting monthly salary?,Indicate in 3-character currency code for starting monthly salary
16/08/2021 13:15:26,2021,Other,23,Malaysian,Malaysia,Confidential,Confidential,Undergraduate Degree,,,Yes,No,No,,,Junior Software Developer,MYR,2200.00,Confidential,,8,"Company Laptop, Phone Bill Reimbursement",PHP,MALAYSIA,HR,1-10 employees,Team of 1,,10,0,0,Confidential,MYR
27/07/2021 10:59:54,2021,Male,32,Malaysian,Malaysia,Selangor,Klang,Undergraduate Degree,Computing and Information System,John Moores University,Yes,No,No,,,Junior Software Engineer,BTC,1.00,0.00,0,25,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Free Breakfast, Free Lunch, Free Dinner, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop, Company Phones, Phone Bill Reimbursement",ASP.NET 3.5,"Selangor, Malaysia",Financial Services,201-1000 employees,2 - 10 people,,1,6,1,Confidential,
31/07/2021 15:15:57,2021,Male,22,Egyptian,Malaysia,Johor,Skudai,Undergraduate Degree,Software Engineering,University Teknologi Malaysia,Yes,No,No,,,Junior Software Developer,MYR,3400.00,Confidential,,15,Remote Work,"html,css,JS",selangor,Retail / ecommerce,11-50 employees,2 - 10 people,,5,1.5,-,Confidential,MYR
01/08/2021 01:49:15,2021,Female,22,Malaysian,Malaysia,Pulau Pinang,Confidential,Undergraduate Degree,Computer Science,,Yes,No,No,,,Intern,MYR,3300.00,Confidential,,11,"Health Insurance, Vacation/Personal Days, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Company Laptop, Broadband/Home Internet Reimbursement",Python,"Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)","1,001-10,000 employees",2 - 10 people,,8,0,0,Confidential,MYR
22/02/2022 10:06:09,2022,Male,24,Malaysian,Malaysia,Selangor,Shah Alam,Undergraduate Degree,Electrical & Electronic Engineering,Tunku Abdul Rahman University College,Yes,No,No,,,Embedded Software Engineer,MYR,3200.00,0.00,0,16,"Health Insurance, Dental Claim, Maternity Leave, Paternity Leave, Sick Time (Unlimited), Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Learning and Development, Company Laptop, Annual Flexi Allowance, Optical/Eye-wear claims",Laptop,"Selangor,Malaysia","Professional Services (Law, Consulting, etc.)",">10,000employees",11 - 50 people,EDAG,5,1,0,Confidential,
26/07/2021 23:32:42,2021,Male,20,Malaysian,Malaysia,Selangor,Confidential,Diploma,,,Yes,Yes,Yes,Legoom Programming Track - Legoom.NET,,Undergraduate Student,MYR,1.00,Confidential,,0,Vacation/Personal Days,-,"Selangor, Malaysia",Education,Self-employed,Team of 1,,10,1,1,Confidential,
26/07/2021 23:50:35,2021,Male,28,Malaysian,Malaysia,Selangor,Cyberjaya,Undergraduate Degree,Computer Science,Sunway University,Yes,No,No,,,Backend Developer,MYR,4300.00,"2,150.00",,14,"Maternity Leave, Paternity Leave, Vacation/Personal Days",Laravel,Ss14,Games,1-10 employees,2 - 10 people,,8,1.5,4,Confidential,
21/01/2022 10:48:58,2022,Female,38,Malaysian,Malaysia,Selangor,Petaling Jaya,Postgraduate,Business Administration,Asia E University,No,Yes,No,CODEOP-FULLSTACK,,Freelancer,USD,800.00,Confidential,NA,0,Remote Work,"PHYTON, NODEJS, EYE-TRACKING",AMSTERDAM,Healthcare,1-10 employees,2 - 10 people,,6,1.5,1,Confidential,
23/08/2021 19:45:44,2021,Male,31,Malaysian,Malaysia,Selangor,Kajang,SPM,,,No,No,No,,,Senior Software Engineer,MYR,11500.00,"11,500.00",0,365,"Health Insurance, Life Insurance, Maternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Company Laptop, Annual Flexi Allowance","JavaScript, PHP, Docker, Nuxt, Inertia","Kuala Lumpur, Malaysia",It,11-50 employees,2 - 10 people,,10,10,5,400,
06/03/2022 23:17:33,2022,Male,33,Malaysian,Malaysia,Kuala Lumpur,Gombak,Undergraduate Degree,Science,National Sun Yat-sen University,Yes,No,No,,,Software Engineer,MYR,10167.00,0.00,0,15,"Health Insurance, Maternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Learning and Development, Company Laptop","Atlassian suites, git, Javascript","KL, Malaysia",Financial Services,51-200 employees,51 - 200 people,,7,10,1,500,
27/07/2021 15:34:36,2021,Male,29,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Computer Science,International Islamic University Malaysia,Yes,No,Yes,,Azure,IT Support,MYR,7000.00,"7,000.00",0,12,"Maternity Leave, Vacation/Personal Days, Company Laptop, Company Phones, Phone Bill Reimbursement","Windows Server, VMWare, Azure",US,Software,201-1000 employees,11 - 50 people,manabolegtaw X-D,7,5,5,600,
26/07/2021 20:50:12,2021,Female,36,Indonesian,Malaysia,Selangor,Confidential,Undergraduate Degree,Electric & Electronic Engineering,Institut Teknologi Sepuluh Nopember,No,No,Yes,,PCAP,Software Developer,USD,1348.00,"1,348.00",,15,"Employee Assistance Program, Maternity Leave, Remote Work","Django, Docker, GIS, AWS, Backbone",South Africa,Consultant,11-50 employees,2 - 10 people,,8,10,5,620,
26/07/2021 20:08:44,2021,Male,24,Malaysian,Malaysia,Selangor,Petaling Jaya,Undergraduate Degree,Computer Science,Tunku Abdul Rahman University College,Yes,No,Yes,,Aws cloud associate,Software engineer,MYR,3000.00,0.00,0,14,"Health Insurance, Maternity Leave, Paternity Leave, Transport Allowance, Company Laptop",Php,"KL, Malaysia","Data Infrastructure, Telecom",201-1000 employees,11 - 50 people,,7,1,1,700,
10/08/2021 09:50:23,2021,Male,28,Malaysian,Malaysia,Selangor,Kuala Lumpur City Centre,Undergraduate Degree,Computer Science,International Islamic University Malaysia,Yes,No,No,,,Software Engineer,MYR,3500.00,0.00,0,14,Company Laptop,Angular 2,"Kuala Lumpur, Malaysia",Business,11-50 employees,2 - 10 people,,6,0.5,0,800,MYR
07/09/2021 19:03:06,2021,Male,24,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur City Centre,Undergraduate Degree,Information Technology,Asia Pacific University,Yes,No,No,,,Senior Software Engineer,MYR,5500.00,"17,000.00",0,14,"Health Insurance, Life Insurance, Free Lunch, Remote Work, Learning and Development, Transport/Parking Allowance, Company Laptop",.NET,"Kuala Lumpur, Malaysia",Games,201-1000 employees,11 - 50 people,,5,2,1,800,
27/07/2021 22:54:58,2021,Male,30,Malaysian,Malaysia,Negeri Sembilan,Seremban,Undergraduate Degree,Computer Science,Malaysia Multimedia University,Yes,No,Yes,,"CCNA, CSPO",Lead Mobile App Engineer,MYR,14000.00,"50,000.00",40000,24,"Health Insurance, Life Insurance, Dental Claim, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Sick Time (Unlimited), Remote Work, Employee Discount, Learning and Development, Transport/Parking Allowance, Company Laptop, Company Phones, Phone Bill Reimbursement, Broadband/Home Internet Reimbursement, Professional Membership Subsidy/Sponsor",Kotlin,Kuala lumpur,Financial Services,201-1000 employees,51 - 200 people,,8,10,4,800,
26/07/2021 22:40:06,2021,Female,24,Malaysian,Malaysia,Sabah,Kota Kinabalu,Undergraduate Degree,Business Management,Sunway University,No,Yes,No,Full Stack Development -CodeOp TechSprint,,Software Developer,MYR,1700.00,0.00,0,12,"Dental Insurance, Free Snacks, Free Drinks",Webflow,"Sabah, Malaysia",Software Development,1-10 employees,2 - 10 people,-,4,1,4,800,
26/07/2021 23:31:48,2021,Female,32,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Computer Science,University Teknologi Malaysia,Yes,No,Yes,,AWS Certified Solution Architect,"Team Lead, Software Engineer",MYR,13000.00,"15,600.00",0,14,"Health Insurance, Life Insurance, Dental Insurance, Employee Assistance Program, Maternity Leave, Paternity Leave, Vacation/Personal Days, Remote Work, Relocation Bonus","NodeJS, Docker, Kubernetes, AWS, GCP, PHP, GoLang","Selangor, Malaysia","Media, Creative Industries",11-50 employees,2 - 10 people,,8,12,4,800,
26/07/2021 20:34:17,2021,Male,28,Malaysian,Malaysia,Perak,Ipoh,Undergraduate Degree,Computer Science,University Sains Malaysia,Yes,No,Yes,,AWA Developer Associate,Software Engineer,USD,5200.00,0.00,0.10%,0,"Vacation/Personal Days, Sick Time (Unlimited), Technology reimbursement","Typescript, Python, React",Silicon valley,Financial Services,11-50 employees,11 - 50 people,-,10,4,3,850,
02/08/2021 11:45:07,2021,Male,27,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur City Centre,SPM,,,No,Yes,Yes,Codecademy,"Vmware VTSP , Sophos XG Firewall",Software Engineer,MYR,5500.00,0.00,0,14,"Dental Claim, Free Snacks, Free Drinks, Remote Work, Transport/Parking Allowance, Optical/Eye-wear claims",php,Kuala Lumpur,"Public Service, Social Service",51-200 employees,2 - 10 people,Made4u,8,8,4,900,
26/07/2021 23:20:33,2021,Male,26,Malaysian,Malaysia,Selangor,Kajang,Undergraduate Degree,Intelligent System Engineering,MARA Technology University,No,Yes,Yes,Legoom Programming Track - Legoom.NET,TRIZ and SAS,Software Developer,MYR,5400.00,0.00,0,14,"Health Insurance, Vacation/Personal Days, Free Lunch, Free Snacks, Free Drinks, Remote Work, Gym/Wellness Reimbursement, Employee Discount, Learning and Development, Company Laptop","PHP, SQL, .NET","Selangor, MY","Media, Creative Industries","1,001-10,000 employees",11 - 50 people,123RF,10,5,3,900,
24/10/2021 13:27:19,2021,Female,22,Malaysian,Malaysia,Kuala Lumpur,Cheras,Undergraduate Degree,Multimedia,John Moores University,Yes,No,No,,,Intern,MYR,1000.00,0.00,0,0,"Dental Claim, Remote Work, Company Laptop, Optical/Eye-wear claims",Asp.net mvc,"Kuala lumpur,Msia",Gateway,51-200 employees,2 - 10 people,,5,0,0,1000,MYR
03/02/2022 13:59:54,2022,Male,22,Malaysian,Malaysia,Pulau Pinang,Bukit Mertajam,Diploma,Information Technology,Asia Pacific University,Yes,No,No,,,Intern,MYR,1000.00,0.00,0,7,"Employee Assistance Program, Vacation/Personal Days, Remote Work, Learning and Development, Company Laptop","Jira,BitBucket,Git,Java,Confluence",Cyberjaya,Retail / ecommerce,">10,000employees",11 - 50 people,,8,1,1,1000,MYR
