,locations,job_openings
0,Kuala Lumpur,1443
1,Petaling Jaya,322
2,Selangor,263
3,Penang,160
4,Bayan Lepas,120
5,Malaysia,115
6,Cyberjaya,99
7,Shah Alam/Subang,86
8,George Town,82
9,Singapore,72
10,Johor Bahru,66
11,Johor,52
12,Melaka,45
13,Puchong,38
14,Kulim,36
15,Subang Jaya,36
16,Kuching,36
17,Company Confidential,32
18,"Shah Alam/Subang, Shah Alam/Subang",30
19,Klang/Port Klang,30
20,Perai,24
21,Central,24
22,Putrajaya,20
23,Penang - Others,18
24,"Klang/Port Klang, Klang/Port Klang",16
25,Bukit Mertajam,16
26,Rawang,14
27,Selangor - Others,14
28,"Kuala Lumpur, Selangor",14
29,Bedok,14
30,Seremban,14
31,Kota Kinabalu,13
32,Miri,12
33,"Cheras, Kuala Lumpur",12
34,Ampang,12
35,Tampines,10
36,Kajang/Bangi/Serdang,10
37,Ipoh,10
38,Butterworth,8
39,Nilai,8
40,Muar,8
41,Perak,8
42,Ang Mo Kio,8
43,Makati City,6
44,North - Others,6
45,Kedah,6
46,Batu Pahat,6
47,Cheras,6
48,Downtown Core,6
49,Toa Payoh,4
50,"Johor Bahru, Penang",4
51,Hong Kong,4
52,East - Others,4
53,Johor - Others,4
54,West,4
55,Yishun,4
56,"Johor, Kuala Lumpur, Penang",4
57,"Johor Bahru, Penang, Sabah, Subang Jaya",4
58,Kota Bharu,4
59,"Kuala Lumpur, Cyberjaya",4
60,"Kajang/Bangi/Serdang, Kajang/Bangi/Serdang, Kajang/Bangi/Serdang",4
61,Central - Others,4
62,Alor Setar,4
63,Perak - Others,2
64,"Bayan Lepas, Perai",2
65,"Kuala Lumpur, Cheras",2
66,"Kuala Lumpur, Tanjung Bungah/Teluk Bahang, Kuantan, ,",2
67,"Selangor, Penang - Others",2
68,"Johor Bahru, Muar",2
69,"Bayan Lepas, Selangor - Others",2
70,Pahang,2
71,Bentong,2
72,Alor Gajah,2
73,Port Dickson,2
74,Langkawi,2
75,"Melaka, Alor Gajah",2
76,Terengganu,2
77,Sandakan,2
78,Kuala Terengganu,2
79,Teluk Intan,2
80,"Johor, Kedah, Kuala Lumpur, Melaka, Negeri Sembilan, Penang, , , ,",2
81,"Shah Alam/Subang, Kuching",2
82,"Johor, Melaka, Negeri Sembilan, Penang, Pahang, Perak,",2
83,"Johor, Melaka, Negeri Sembilan, Pahang, Perak, Klang/Port Klang",2
84,Semenyih,2
85,"Johor Bahru, Muar, Penang",2
86,"Alor Setar, Terengganu - Others",2
87,Kota Tinggi,2
88,"Puchong, Shah Alam/Subang",2
89,Selayang,2
90,Sungai Petani,2
91,Sabah,2
92,"Kuala Lumpur, Sungai Petani, Kota Bharu, Selangor",2
93,"Johor Bahru, Kuala Lumpur",2
94,"Johor, Kuala Lumpur, Melaka, Penang, Selangor",2
95,"Johor, Kuala Lumpur",2
96,"Johor, Selangor",2
97,Jakarta Raya,2
98,Negeri Sembilan - Others,2
99,Taiwan,2
100,"Ampang, Cheras, Cyberjaya, Klang/Port Klang, Shah Alam/Subang, ,",2
101,"Pahang, Terengganu",2
102,West - Others,2
103,Jakarta Pusat,2
104,Changi,2
105,"Segamat, Kuala Lumpur",2
106,Uzbekistan,2
107,"Johor, Kedah, Kuala Lumpur, Melaka, Negeri Sembilan, Selangor",2
108,Taiping,2
109,"Kuala Lumpur, Manila City",2
110,United Kingdom,2
111,"Selangor, Kuala Lumpur",2
112,"Cebu (Others), Cebu (Cebu City)",2
113,Bintulu,2
114,Pioneer,2
115,East,2
116,"Kuala Lumpur, Petaling Jaya",2
117,National Capital Reg,2
118,Jurong West,2
119,Japan,2
120,"Johor, Perak, Penang, Selangor, Sarawak, Sabah, Melaka, ,",2
121,"Kuala Lumpur, Hong Kong",2
122,"Kuala Lumpur, Bayan Lepas",2
123,"Selangor - Others, Kuala Lumpur, Negeri Sembilan, Perak",2
124,"Johor Bahru, Shah Alam/Subang",2
125,"Klang/Port Klang, Kuala Lumpur",2
126,Kuantan,2
