,companies,jobs
0,AirAsia,85
1,CIMB Niaga,70
2,TRUST RECRUIT PTE. LTD.,66
3,Western Digital,40
4,Ambition Group Malaysia Sdn Bhd,38
5,Company Confidential,32
6,Michael Page International (Malaysia) Sdn Bhd,28
7,RK Recruitment Pte. Ltd.,24
8,Vision Technology Consulting,22
9,RHB Bank,21
10,SEEK Asia (JobStreet),20
11,Experian,20
12,Flex,20
13,Deloitte,18
14,Avensys Consulting,18
15,Infineon Technologies (Kulim) Sdn Bhd,18
16,KLK OLEO,16
17,Accenture,16
18,Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,16
19,Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,16
